Date,Description,Amount,Currency,Category,Notes
2025-01-15,Team Lunch — Q1 Kickoff,84.50,USD,Food and drink,Denver office team
2025-01-16,Hotel Hyatt — Denver,320.00,USD,Lodging,Sales offsite
2025-01-17,Uber to Airport,38.75,USD,Transportation,
2025-01-18,Client Dinner — Elway's,215.00,USD,Food and drink,Prospect meeting
2025-01-20,AWS Cloud Services,450.00,USD,Technology,January invoice
2025-01-21,Office Supplies,62.30,USD,General,Staples order
2025-01-22,Flight — Denver to NYC,389.00,USD,Transportation,United 1A upgrade
2025-01-23,Marriott — New York,495.00,USD,Lodging,2 nights
2025-01-24,Conference Registration,299.00,USD,Education,
2025-01-25,Team Happy Hour,178.50,USD,Food and drink,Friday drinks
